"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2263","RT @StarSportsTamil: <U+0B95><U+0BBE><U+0BA9><U+0BCD><U+0B9F><U+0BB0><U+0BBE><U+0B95><U+0BCD><U+0B9F><U+0BB0><U+0BCD> #Nesamani,  <U+0B89><U+0B9F><U+0BAE><U+0BCD><U+0BAA><U+0BC1> <U+0B9A><U+0BB0><U+0BBF> <U+0B87><U+0BB2><U+0BCD><U+0BB2><U+0BBE><U+0BAE> <U+0BAA><U+0BCB><U+0BAF><U+0BBF><U+0B9F><U+0BCD><U+0B9F><U+0BBE><U+0BAA><U+0BCD><U+0BB2>, #CricketOdaCrown <U+0B90> <U+0B9C><U+0BC6><U+0BAF><U+0BBF><U+0B9A><U+0BCD><U+0B9A><U+0BBE> <U+0B9A><U+0BB0><U+0BBF> <U+0B86><U+0B95><U+0BBF><U+0B9F><U+0BC1><U+0BB5><U+0BBE><U+0BAA><U+0BCD><U+0BB2>..!

<U+0B85><U+0BA4><U+0BA9><U+0BBE><U+0BB2> <U+0001F3C6><U+0B90> <U+0B9C><U+0BC6><U+0BAF><U+0BBF><U+0B9A><U+0BCD>…",FALSE,0,NA,2019-05-31 03:12:31,FALSE,NA,"1134296572156506113",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ANANDKRISH555",1124,TRUE,FALSE,NA,NA
"2264","RT @nakkheeranweb: <U+0B9A><U+0BCB><U+0B9F><U+0BBF> <U+0BAA><U+0BCB><U+0B9F><U+0BCD><U+0B9F><U+0BC1> <U+0BAA><U+0BBE><U+0BB0><U+0BCD><U+0BAA><U+0BCD><U+0BAA><U+0BCB><U+0BAE><U+0BBE>, <U+0B9A><U+0BCB><U+0B9F><U+0BBF>... <U+0B92><U+0BB0><U+0BC1> <U+0BAA><U+0BBF><U+0BB0><U+0BA4><U+0BAE><U+0BB0><U+0BCD> <U+0B8E><U+0BA9><U+0BCD><U+0BB1><U+0BC1><U+0BAE><U+0BCD> <U+0BAA><U+0BBE><U+0BB0><U+0BBE><U+0BAE><U+0BB2><U+0BCD>...

#Pray_for_Neasamani  #PrayForNesamani #Pray_For_Nesamani…",FALSE,0,NA,2019-05-31 03:12:04,FALSE,NA,"1134296457979150336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rajesh_aruna",184,TRUE,FALSE,NA,NA
"2265","RT @ThalapathiSuma1: A kind and pleading request<U+0001F629><U+0001F625><U+0001F64F>

Please use this tag

#SRMcollegesuicudes 

Trend it<U+0001F64F><U+0001F64F><U+0001F64F>

TN media is deviating us by us…",FALSE,0,NA,2019-05-31 03:11:32,FALSE,NA,"1134296325359525888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","9m8h21bVsEGTlA5",71,TRUE,FALSE,NA,NA
"2266","RT @Allen_chrisfin: Last moment of nesamani<U+0001F625><U+0001F625><U+0001F625>
Breaking news:just Korean president kim reached chennai,to see neasamani
#Pray_For_Nesamani…",FALSE,0,NA,2019-05-31 03:11:27,FALSE,NA,"1134296301888086016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vivmamba",94,TRUE,FALSE,NA,NA
"2267","@ThanthiTV #Pray_for_Neasamani #Pray_For_Nesamani nesamani velai seiyasonathaal cutout agatrama https://t.co/j3HBXUnfHv",FALSE,0,"ThanthiTV",2019-05-31 03:11:25,FALSE,"1134008675041808385","1134296292924899329","1059896820","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lotuseye07",0,FALSE,FALSE,NA,NA
"2268","RT @2Vettipaya: <U+0B8E><U+0B99><U+0BCD><U+0B95><U+0BB3><U+0BC1><U+0B95><U+0BCD><U+0B95><U+0BC1> <U+0B87><U+0BB2><U+0BCD><U+0BB2><U+0BBE><U+0BA4> <U+0B92><U+0BA9><U+0BCD><U+0BA9>, trend <U+0BAA><U+0BA3><U+0BCD><U+0BA3><U+0BB5><U+0BC1><U+0BAE><U+0BCD> <U+0BA4><U+0BC6><U+0BB0><U+0BBF><U+0BAF><U+0BC1><U+0BAE><U+0BCD> 
<U+0B87><U+0BB0><U+0BC1><U+0B95><U+0BCD><U+0B95> <U+0B92><U+0BA9><U+0BCD><U+0BA9> <U+0B9F><U+0BAE><U+0BCD><U+0BAE><U+0BBF> <U+0B86><U+0B95><U+0BCD><U+0B95><U+0BB5><U+0BC1><U+0BAE><U+0BCD> <U+0BA4><U+0BC6><U+0BB0><U+0BBF><U+0BAF><U+0BC1><U+0BAE><U+0BCD> 
#Pray_for_Neasamani 
#Nesamani 
#Pray…",FALSE,0,NA,2019-05-31 03:10:59,FALSE,NA,"1134296185659961346",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sreekararam",11,TRUE,FALSE,NA,NA
"2269","RT @CCTPolice_Alert: Prayers work, Helmets work better #pray_for_nesamani #nesamani #wearhelmets #follow_traffic_rules https://t.co/PTUjKmT…",FALSE,0,NA,2019-05-31 03:10:40,FALSE,NA,"1134296104260972544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Guruparan_P",566,TRUE,FALSE,NA,NA
"2270","RT @ThalapathiSuma1: A kind and pleading request<U+0001F629><U+0001F625><U+0001F64F>

Please use this tag

#SRMcollegesuicudes 

Trend it<U+0001F64F><U+0001F64F><U+0001F64F>

TN media is deviating us by us…",FALSE,0,NA,2019-05-31 03:10:30,FALSE,NA,"1134296064565993473",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TharuenSelvan",71,TRUE,FALSE,NA,NA
"2271","RT @StarSportsTamil: <U+0B95><U+0BBE><U+0BA9><U+0BCD><U+0B9F><U+0BB0><U+0BBE><U+0B95><U+0BCD><U+0B9F><U+0BB0><U+0BCD> #Nesamani,  <U+0B89><U+0B9F><U+0BAE><U+0BCD><U+0BAA><U+0BC1> <U+0B9A><U+0BB0><U+0BBF> <U+0B87><U+0BB2><U+0BCD><U+0BB2><U+0BBE><U+0BAE> <U+0BAA><U+0BCB><U+0BAF><U+0BBF><U+0B9F><U+0BCD><U+0B9F><U+0BBE><U+0BAA><U+0BCD><U+0BB2>, #CricketOdaCrown <U+0B90> <U+0B9C><U+0BC6><U+0BAF><U+0BBF><U+0B9A><U+0BCD><U+0B9A><U+0BBE> <U+0B9A><U+0BB0><U+0BBF> <U+0B86><U+0B95><U+0BBF><U+0B9F><U+0BC1><U+0BB5><U+0BBE><U+0BAA><U+0BCD><U+0BB2>..!

<U+0B85><U+0BA4><U+0BA9><U+0BBE><U+0BB2> <U+0001F3C6><U+0B90> <U+0B9C><U+0BC6><U+0BAF><U+0BBF><U+0B9A><U+0BCD>…",FALSE,0,NA,2019-05-31 03:10:21,FALSE,NA,"1134296025881952257",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jani45860690",1124,TRUE,FALSE,NA,NA
"2272","RT @CCTPolice_Alert: Prayers work, Helmets work better #pray_for_nesamani #nesamani #wearhelmets #follow_traffic_rules https://t.co/PTUjKmT…",FALSE,0,NA,2019-05-31 03:10:15,FALSE,NA,"1134295999940308993",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thalapathy_dinu",566,TRUE,FALSE,NA,NA
